d w z t
54 38 1 0
54 38 1 1
54 36 1 0
5 37 4 0
5 20 4 0
65 5 5 1
65 15 5 1
65 36 1 0
65 12 1 2
65 5 5 1
65 27 1 2
65 36 5 1
65 28 5 1
65 36 5 1
44 3 1 1
44 20 0 0
44 3 1 1
102 12 2 0
102 9 1 1
102 32 2 0
108 24 1 0
108 3 1 0
104 46 1 0
104 2 1 1
104 3 1 1
104 13 1 0
104 36 1 2
104 45 1 0
104 41 1 1
104 32 1 1
99 27 1 0
99 49 1 0
99 5 4 2
99 13 1 0
99 13 1 1
99 13 1 1
99 9 1 0
99 9 1 1
99 13 1 0
106 47 2 1
106 38 1 0
106 9 1 0
106 9 1 0
106 4 1 0
106 44 1 0
106 45 1 0
37 39 0 1
37 20 0 1
37 14 0 0
37 39 0 1
37 24 0 2
37 39 0 1
37 7 0 2
37 48 0 2
37 20 0 1
37 17 1 3
37 24 0 1
37 48 0 2
37 48 0 0
37 31 0 1
37 48 0 0
37 39 0 0
37 14 0 1
3 31 6 1
3 25 2 2
3 8 6 0
3 41 6 1
3 20 6 1
3 8 6 1
3 8 6 0
3 31 2 2
3 8 6 0
3 13 2 2
3 21 0 3
29 43 1 0
29 6 1 1
29 49 1 1
29 41 1 0
29 12 1 0
29 24 1 0
30 47 0 0
30 6 5 1
30 47 5 1
30 24 5 1
105 27 1 0
105 4 1 0
105 34 1 1
62 38 1 0
76 16 3 0
76 20 3 0
76 12 1 3
76 20 3 0
76 20 0 2
76 0 3 0
76 20 3 0
76 0 3 0
76 20 0 2
76 23 3 1
76 0 3 1
76 23 3 1
76 0 3 0
76 20 0 2
76 23 3 1
76 20 0 4
24 47 0 0
24 47 0 0
24 41 0 2
24 10 0 0
24 10 0 0
24 47 2 3
24 31 0 0
24 34 1 1
24 20 0 0
24 49 1 1
24 47 0 0
24 10 2 3
24 31 0 0
24 15 1 1
24 16 1 1
24 10 2 4
24 20 0 0
24 30 0 0
8 41 0 0
8 20 0 0
8 33 0 0
8 41 0 0
8 15 1 1
