d w z t
94 61 0 0
94 14 0 0
94 61 0 0
94 59 0 0
94 65 0 0
94 14 0 0
94 61 0 0
94 28 0 0
94 42 0 0
94 16 0 0
94 59 0 0
94 81 0 1
94 83 0 0
87 38 3 0
87 62 3 0
87 38 3 0
87 51 4 1
87 26 3 0
87 18 3 0
87 65 3 0
87 2 4 2
87 62 4 1
87 23 3 0
87 68 4 1
102 65 6 1
102 14 0 0
102 47 6 1
102 54 4 2
102 83 6 1
102 50 6 1
102 50 6 1
102 50 6 3
102 82 6 1
102 50 6 1
47 53 3 0
47 50 3 0
47 83 6 2
47 66 3 0
47 40 3 0
47 40 3 0
47 59 3 0
47 65 3 0
47 61 3 0
47 87 3 0
47 66 3 0
47 59 3 1
47 40 3 1
47 42 6 2
47 40 3 0
47 59 3 0
47 59 3 1
16 35 4 1
16 62 3 0
16 62 3 0
16 65 3 0
16 65 3 0
16 22 3 0
16 40 3 0
16 5 3 0
16 87 6 2
