time iter num.topics num.tables likelihood gamma alpha split merge trial
    1.00 00249 0018 00224 -4088.98950 1.00000 1.00000 0 0 0
    1.00 00250 0017 00225 -4056.37578 1.00000 1.00000 0 0 0
    1.00 00251 0017 00228 -4042.06595 1.00000 1.00000 0 0 0
    1.00 00252 0015 00223 -4053.30708 1.00000 1.00000 0 0 0
    1.00 00253 0014 00224 -4034.53348 1.00000 1.00000 0 0 0
    1.00 00254 0014 00222 -4021.64076 1.00000 1.00000 0 0 0
    1.00 00255 0013 00223 -4036.52906 1.00000 1.00000 0 0 0
    1.00 00256 0013 00229 -4029.73999 1.00000 1.00000 0 0 0
    1.00 00257 0014 00255 -4149.54455 1.00000 1.00000 0 0 0
    1.00 00258 0016 00220 -4029.28651 1.00000 1.00000 0 0 0
    1.00 00259 0013 00237 -4055.56583 1.00000 1.00000 0 0 0
    1.00 00260 0012 00230 -4045.60101 1.00000 1.00000 0 0 0
    1.00 00261 0013 00237 -4040.44926 1.00000 1.00000 0 0 0
    1.00 00262 0012 00243 -4075.27469 1.00000 1.00000 0 0 0
    1.00 00263 0012 00250 -3983.73460 1.00000 1.00000 0 0 0
    1.00 00264 0014 00251 -4058.41713 1.00000 1.00000 0 0 0
    1.00 00265 0012 00244 -4068.22344 1.00000 1.00000 0 0 0
    1.00 00266 0012 00240 -4092.49113 1.00000 1.00000 0 0 0
    1.00 00267 0012 00233 -4016.05059 1.00000 1.00000 0 0 0
    1.00 00268 0014 00220 -4011.45873 1.00000 1.00000 0 0 0
    1.00 00269 0011 00232 -4077.54357 1.00000 1.00000 0 0 0
    1.00 00270 0012 00230 -4037.31371 1.00000 1.00000 0 0 0
    1.00 00271 0012 00225 -3980.31627 1.00000 1.00000 0 0 0
    1.00 00272 0011 00216 -3995.24331 1.00000 1.00000 0 0 0
    1.00 00273 0012 00222 -4005.30431 1.00000 1.00000 0 0 0
    1.00 00274 0012 00223 -3994.86250 1.00000 1.00000 0 0 0
    1.00 00275 0012 00209 -3931.33477 1.00000 1.00000 0 0 0
    1.00 00276 0012 00221 -3984.96021 1.00000 1.00000 0 0 0
    1.00 00277 0012 00228 -4025.59297 1.00000 1.00000 0 0 0
    1.00 00278 0014 00240 -4077.26835 1.00000 1.00000 0 0 0
    1.00 00279 0012 00238 -4099.75144 1.00000 1.00000 0 0 0
    1.00 00280 0011 00231 -4070.15332 1.00000 1.00000 0 0 0
    1.00 00281 0011 00221 -3995.23459 1.00000 1.00000 0 0 0
    1.00 00282 0012 00243 -4079.65423 1.00000 1.00000 0 0 0
    1.00 00283 0012 00245 -4111.88343 1.00000 1.00000 0 0 0
    1.00 00284 0011 00222 -4034.02399 1.00000 1.00000 0 0 0
    1.00 00285 0012 00234 -4043.48389 1.00000 1.00000 0 0 0
    1.00 00286 0011 00249 -4082.86905 1.00000 1.00000 0 0 0
    1.00 00287 0012 00230 -4067.06728 1.00000 1.00000 0 0 0
    1.00 00288 0013 00237 -4106.43080 1.00000 1.00000 0 0 0
    1.00 00289 0014 00236 -4109.63453 1.00000 1.00000 0 0 0
