d w z t
17 31 6 2
17 31 6 1
17 24 6 1
17 26 6 1
17 25 4 3
17 17 6 1
17 24 6 1
17 33 6 1
17 27 6 1
17 16 6 1
77 17 9 0
77 16 9 0
77 13 9 0
77 15 9 0
77 43 9 0
77 48 9 0
77 43 9 0
77 15 9 0
7 16 4 0
21 20 3 0
21 30 3 0
21 21 3 0
21 22 3 0
21 26 3 0
21 21 3 0
21 26 3 0
21 30 3 0
21 39 3 0
21 22 3 0
21 39 3 0
21 34 3 0
21 22 3 0
21 21 3 0
21 17 3 0
21 24 3 0
21 31 3 0
21 21 3 0
21 39 3 0
21 22 3 0
21 11 3 0
21 26 3 0
21 31 3 0
21 39 3 0
21 30 3 0
21 22 3 0
21 24 3 0
21 22 3 0
21 22 3 0
25 24 4 0
25 24 4 0
25 17 4 0
25 3 4 1
25 32 6 2
25 16 4 1
19 24 2 0
19 3 0 2
19 31 2 0
19 30 3 1
19 22 2 0
19 30 0 2
19 39 3 1
19 45 0 2
19 14 2 0
19 31 2 0
19 39 3 1
19 39 2 0
19 24 3 1
19 47 2 0
19 32 2 0
19 11 2 0
19 31 2 0
2 24 2 1
2 8 7 0
2 24 7 0
2 24 7 0
2 21 7 0
2 20 7 0
2 21 7 0
2 31 2 1
2 41 4 2
2 21 7 0
2 8 7 0
2 21 7 0
2 8 7 0
2 25 7 0
2 41 7 0
2 8 7 0
2 40 7 0
2 21 7 0
2 8 7 0
2 8 7 0
2 24 7 0
93 24 6 0
93 32 6 0
93 24 6 1
93 20 2 2
93 31 6 0
93 33 6 0
93 16 6 0
93 24 6 1
93 11 6 0
93 4 6 0
93 16 6 1
93 16 6 0
92 43 6 2
92 31 6 2
92 24 6 2
92 24 6 2
92 20 2 0
92 31 6 2
92 9 5 1
92 12 5 1
92 20 2 0
92 21 6 2
92 24 6 2
92 44 6 2
92 31 6 2
54 38 5 0
54 36 9 1
54 38 5 0
10 39 0 1
10 20 2 0
10 29 0 1
10 24 0 1
10 32 0 1
10 14 2 0
10 11 2 0
10 32 0 1
10 30 0 1
10 31 2 0
10 32 0 1
10 16 0 1
10 29 0 1
10 20 2 0
10 32 0 1
10 11 0 1
10 30 2 0
10 26 0 1
10 39 0 1
10 30 0 1
10 30 0 1
10 30 0 1
10 20 2 0
10 29 0 1
10 20 2 0
10 20 2 0
10 29 0 1
47 3 4 0
47 28 4 0
47 24 4 0
47 28 4 0
47 33 4 0
47 24 4 0
47 24 4 0
47 17 4 0
47 24 4 0
80 16 2 1
80 26 3 0
80 20 2 2
80 30 3 0
80 45 3 0
80 11 3 0
28 11 0 0
28 30 0 0
28 3 0 0
28 24 0 0
28 24 0 0
28 24 0 0
28 11 0 0
28 29 0 0
28 39 0 0
28 24 0 0
28 29 0 0
28 29 0 0
28 39 0 0
103 12 5 0
103 9 5 0
103 49 5 0
